title,company,location,sector,description,contract_type,salary,posted_date,job_url,source_website
Stage en Ressources Humaines,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances Saisonnier,Saisonnier,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
Agent de Service Support/Agente dEntretien,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances CDI CDD,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
Agent de Service Général / Agent de Sécurité,BANK ABC,Tunis,banque / finance / assurances,banque / finance / assurances CDI CDD,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/11980/abc-bank/,keejob.com
Technicien en laboratoire dessais,Entreprise Anonyme,Tunis,CDI,CDI SIVP 900 - 1200 TND,SIVP,900-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/232812/technicien-en-laboratoire-dessais/,keejob.com
Assistant Product Manager,Entreprise Anonyme,Tunis,CDI,CDI 900 - 1200 TND,900 - 1200 TND,900-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/232792/assistant-product-manager/,keejob.com
Vendeur,LACCUMULATEUR TUNISIEN ASSAD,Tunis,électronique / électricité / énergie,électronique / électricité / énergie CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/1957/assad/,keejob.com
Assistante Ressources Humaines,BARIOLO,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/19405/bariolo/,keejob.com
Standardiste,SEBAIXIA,Tunis,informatique / télécoms,informatique / télécoms CDD 1000 - 1200 TND,CDD,1000-1200 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/29917/sebaixia-revosi/,keejob.com
Technicien support IT,FINOPTI TN,Tunis,comptabilité / gestion / audit,comptabilité / gestion / audit CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/14877/my-cash-collector/,keejob.com
Conseiller en immobilier à TECNOCASA KELIBIA,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI CDD SIVP 650 - 750 TND,CDI,650-750 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Responsable RH 4 saisons,MEDINA GROUP,Tunis,tourisme / hôtellerie / restauration / loisirs,tourisme / hôtellerie / restauration / loisirs CDI,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/19398/st%C3%A9-la-paix-group-poulina/,keejob.com
Chargé  e  trésorerie,Entreprise Anonyme,Tunis,CDI,CDI,,,02/12/2025,https://www.keejob.com/offres-emploi/232809/charg%C3%A9-e-tr%C3%A9sorerie/,keejob.com
Responsable dÉquipe en Télévente,ACTIVE CONTACT,Tunis,call center / télévente,call center / télévente CDI 1500 - 2000 TND,CDI,1500-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/891/active-contact/,keejob.com
Commercial Terrain,Entreprise Anonyme,Tunis,CDI,CDI 1500 - 2000 TND,1500 - 2000 TND,1500-2000 TND,02/12/2025,https://www.keejob.com/offres-emploi/232804/commercial-terrain/,keejob.com
Pharmacien,Entreprise Anonyme,Tunis,CDI,CDI 1600 - 1800 TND,1600 - 1800 TND,1600-1800 TND,02/12/2025,https://www.keejob.com/offres-emploi/232803/pharmacien-ou-pharmacienne/,keejob.com
Techniciens Supérieurs Réseaux,ALMAVIVA,Tunis,call center / télévente,call center / télévente CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/991/almaviva/,keejob.com
Professeur de francais,ETABLISSEMENT SCOLAIRE TRIKI,Tunis,enseignement / formation / puériculture,enseignement / formation / puériculture CDI 800 - 1000 TND,CDI,800-1000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/31057/etablissement-scolaire-triki/,keejob.com
Conseiller en immobilier a laouina,TECNOCASA GROUP,Tunis,architecture / immobilier / BTP,architecture / immobilier / BTP CDI SIVP,CDI,,02/12/2025,https://www.keejob.com/offres-emploi/companies/15474/vinci-conseils-tecnocasa/,keejob.com
Technicien Maintenance Electrique - BBM TAJ,CARTHAGO SANITAIRE,Tunis,autres,autres CDD SIVP 800 - 1500 TND,CDD,800-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/28304/ste-carthago-sanitaire/,keejob.com
Analyste Fonctionnel ERP - Comptabilité,METAM,Tunis,informatique / télécoms,informatique / télécoms CDI 1000 - 3000 TND,CDI,1000-3000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8363/metam/,keejob.com
Analyste Fonctionnel ERP,METAM,Tunis,informatique / télécoms,informatique / télécoms 1000 - 3000 TND,1000 - 3000 TND,1000-3000 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/8363/metam/,keejob.com
MANAGER RECOUVREMENT ET FACTURATION,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,communication / publicité / média,communication / publicité / média CDI 1000 - 1500 TND,CDI,1000-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/1228/infopro/,keejob.com
SUPPORT CLIENT,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,communication / publicité / média,communication / publicité / média CDI 1000 - 1300 TND,CDI,1000-1300 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/1228/infopro/,keejob.com
CONSEILLERS CLIENTS - MULTICANAL,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,communication / publicité / média,communication / publicité / média CDI 1000 - 1500 TND,CDI,1000-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/1228/infopro/,keejob.com
DEBT COLLECTOR AGENT,ETAI TUNISIE/INFOPRO DIGITAL,Tunis,communication / publicité / média,communication / publicité / média CDI 1000 - 1500 TND,CDI,1000-1500 TND,02/12/2025,https://www.keejob.com/offres-emploi/companies/1228/infopro/,keejob.com
